image,index,method,n_dets,total_ms,tp,fp,ignored,valid_gt,small_gt,small_tp,recall_small,precision
0000066_01097_d_0000002.jpg,40,F640,264,25.080099992919713,163,61,0,275,248,148,0.5967741935483871,0.7276785714285714
0000066_01097_d_0000002.jpg,40,F1280,394,53.55789999885019,194,112,0,275,248,179,0.7217741935483871,0.6339869281045751
0000066_01097_d_0000002.jpg,40,DensK1,345,43.662800002493896,184,99,0,275,248,168,0.6774193548387096,0.6501766784452296
0000066_01097_d_0000002.jpg,40,UnifAll,392,62.4552999943262,181,133,0,275,248,164,0.6612903225806451,0.5764331210191083
0000066_01097_d_0000002.jpg,40,SAHI640,302,198.73180000286084,163,71,0,275,248,147,0.592741935483871,0.6965811965811965
0000073_00377_d_0000001.jpg,41,F640,41,17.584000001079403,29,11,0,64,34,5,0.14705882352941177,0.725
0000073_00377_d_0000001.jpg,41,F1280,57,39.828599998145364,43,13,0,64,34,17,0.5,0.7678571428571429
0000073_00377_d_0000001.jpg,41,DensK1,81,31.84979999787174,51,27,0,64,34,23,0.6764705882352942,0.6538461538461539
0000073_00377_d_0000001.jpg,41,UnifAll,99,142.63930000015534,53,43,0,64,34,24,0.7058823529411765,0.5520833333333334
0000073_00377_d_0000001.jpg,41,SAHI640,73,450.30349999433383,11,59,0,64,34,1,0.029411764705882353,0.15714285714285714
0000073_01275_d_0000002.jpg,42,F640,51,20.118700005696155,40,11,0,115,69,5,0.07246376811594203,0.7843137254901961
0000073_01275_d_0000002.jpg,42,F1280,93,38.863099995069206,74,19,0,115,69,35,0.5072463768115942,0.7956989247311828
0000073_01275_d_0000002.jpg,42,DensK1,129,37.05969998554792,85,43,0,115,69,45,0.6521739130434783,0.6640625
0000073_01275_d_0000002.jpg,42,UnifAll,173,139.13440000033006,90,81,0,115,69,49,0.7101449275362319,0.5263157894736842
0000073_01275_d_0000002.jpg,42,SAHI640,119,600.413899999694,39,78,0,115,69,22,0.3188405797101449,0.3333333333333333
0000073_03155_d_0000004.jpg,43,F640,49,14.912799990270287,34,15,0,99,59,7,0.11864406779661017,0.6938775510204082
