image,index,method,rep,n_dets,total_ms,n_windows,selected,consistent_with_rep0,global_ms,local_ms,merge_ms
0000280_02201_d_0000623.jpg,11,SAHI640,1,85,386.6563999908976,-1,[],True,,,
0000280_02201_d_0000623.jpg,11,F640,2,46,17.719699986628257,0,[],True,,,
0000280_02201_d_0000623.jpg,11,F1280,2,66,32.51560000353493,0,[],True,,,
0000280_02201_d_0000623.jpg,11,DensK1,2,59,31.466500004171394,1,[3],True,15.587200003210455,13.90700000047218,1.972300000488758
0000280_02201_d_0000623.jpg,11,UnifAll,2,95,133.37670000328217,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000280_02201_d_0000623.jpg,11,SAHI640,2,85,386.91639999160543,-1,[],True,,,
0000295_02900_d_0000034.jpg,12,F640,0,130,20.958599998266436,0,[],,,,
0000295_02900_d_0000034.jpg,12,F1280,0,175,34.650799992959946,0,[],,,,
0000295_02900_d_0000034.jpg,12,DensK1,0,174,39.39259999606293,1,[4],,21.182099997531623,14.136600002530031,4.073899996001273
0000295_02900_d_0000034.jpg,12,UnifAll,0,234,113.26610000105575,6,"[0, 1, 2, 3, 4, 5]",,,,
0000295_02900_d_0000034.jpg,12,SAHI640,0,192,389.47759999427944,-1,[],,,,
0000295_02900_d_0000034.jpg,12,F640,1,130,20.92560000892263,0,[],True,,,
0000295_02900_d_0000034.jpg,12,F1280,1,175,35.99400000530295,0,[],True,,,
0000295_02900_d_0000034.jpg,12,DensK1,1,174,33.56460000213701,1,[4],True,15.098499992745928,14.379600004758686,4.0865000046323985
0000295_02900_d_0000034.jpg,12,UnifAll,1,234,111.89079999167006,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000295_02900_d_0000034.jpg,12,SAHI640,1,192,511.5477999934228,-1,[],True,,,
0000295_02900_d_0000034.jpg,12,F640,2,130,20.70919999096077,0,[],True,,,
0000295_02900_d_0000034.jpg,12,F1280,2,175,43.68129999784287,0,[],True,,,
0000295_02900_d_0000034.jpg,12,DensK1,2,174,36.622300001909025,1,[4],True,14.568600003258325,17.956899988348596,4.096800010302104
0000295_02900_d_0000034.jpg,12,UnifAll,2,234,110.25949999748264,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000295_02900_d_0000034.jpg,12,SAHI640,2,192,400.2501999930246,-1,[],True,,,
0000244_01000_d_0000003.jpg,13,F640,0,35,14.944299997296184,0,[],,,,
0000244_01000_d_0000003.jpg,13,F1280,0,65,31.254000001354143,0,[],,,,
0000244_01000_d_0000003.jpg,13,DensK1,0,61,38.013500001397915,1,[0],,16.740099992603064,19.95560000068508,1.3178000081097707
0000244_01000_d_0000003.jpg,13,UnifAll,0,63,52.26550000952557,2,"[0, 1]",,,,
0000244_01000_d_0000003.jpg,13,SAHI640,0,59,172.69380000652745,-1,[],,,,
0000244_01000_d_0000003.jpg,13,F640,1,35,22.963700001128018,0,[],True,,,
0000244_01000_d_0000003.jpg,13,F1280,1,65,39.146199997048825,0,[],True,,,
0000244_01000_d_0000003.jpg,13,DensK1,1,61,43.72850000800099,1,[0],True,24.607600003946573,17.798400003812276,1.3225000002421439
0000244_01000_d_0000003.jpg,13,UnifAll,1,63,50.42860000685323,2,"[0, 1]",True,,,
0000244_01000_d_0000003.jpg,13,SAHI640,1,59,170.6207999959588,-1,[],True,,,
0000244_01000_d_0000003.jpg,13,F640,2,35,17.583699998795055,0,[],True,,,
0000244_01000_d_0000003.jpg,13,F1280,2,65,33.150000002933666,0,[],True,,,
0000244_01000_d_0000003.jpg,13,DensK1,2,61,35.2848000038648,1,[0],True,17.20230000501033,16.155099991010502,1.9274000078439713
0000244_01000_d_0000003.jpg,13,UnifAll,2,63,46.392000003834255,2,"[0, 1]",True,,,
0000244_01000_d_0000003.jpg,13,SAHI640,2,59,169.14790000009816,-1,[],True,,,
0000330_00001_d_0000800.jpg,14,F640,0,51,17.770699996617623,0,[],,,,
0000330_00001_d_0000800.jpg,14,F1280,0,84,32.029300011345185,0,[],,,,
0000330_00001_d_0000800.jpg,14,DensK1,0,77,36.87480000371579,1,[5],,17.61850000184495,16.804200000478886,2.4521000013919547
0000330_00001_d_0000800.jpg,14,UnifAll,0,118,108.99849999987055,6,"[0, 1, 2, 3, 4, 5]",,,,
0000330_00001_d_0000800.jpg,14,SAHI640,0,103,392.56950000708457,-1,[],,,,
0000330_00001_d_0000800.jpg,14,F640,1,51,18.3332999877166,0,[],True,,,
0000330_00001_d_0000800.jpg,14,F1280,1,84,39.47459999471903,0,[],True,,,
